# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  10400      1.12e-01    1.14e-01      3.69e-04    3.97e-04      9.79e-03    1.00e-02    1.3e-04
  10500      1.18e-01    1.16e-01      7.45e-04    6.66e-04      1.03e-02    1.01e-02    1.3e-04
  10600      1.16e-01    1.17e-01      6.32e-04    1.03e-03      1.01e-02    1.02e-02    1.3e-04
  10700      1.16e-01    1.15e-01      1.02e-03    3.38e-04      1.01e-02    1.01e-02    1.3e-04
  10800      1.17e-01    1.16e-01      8.21e-04    4.53e-04      1.03e-02    1.02e-02    1.3e-04
  10900      1.17e-01    1.15e-01      6.07e-04    4.40e-04      1.02e-02    1.01e-02    1.3e-04
  11000      1.14e-01    1.18e-01      5.71e-04    8.38e-04      9.99e-03    1.03e-02    1.3e-04
  11100      1.15e-01    1.15e-01      8.90e-04    5.34e-04      1.00e-02    1.01e-02    1.3e-04
  11200      1.13e-01    1.16e-01      4.63e-04    7.63e-04      9.93e-03    1.01e-02    1.3e-04
  11300      1.16e-01    1.15e-01      3.42e-04    5.62e-04      1.01e-02    1.01e-02    1.3e-04
  11400      1.14e-01    1.16e-01      3.97e-04    5.32e-04      1.00e-02    1.02e-02    1.3e-04
  11500      1.14e-01    1.15e-01      3.62e-04    7.38e-04      1.00e-02    1.00e-02    1.3e-04
  11600      1.16e-01    1.15e-01      3.96e-04    3.97e-04      1.02e-02    1.01e-02    1.3e-04
  11700      1.14e-01    1.15e-01      9.99e-04    1.16e-03      9.96e-03    1.00e-02    1.3e-04
  11800      1.11e-01    1.14e-01      5.64e-04    4.88e-04      9.76e-03    1.00e-02    1.3e-04
  11900      1.12e-01    1.13e-01      7.74e-04    4.98e-04      9.77e-03    9.89e-03    1.3e-04
  12000      1.14e-01    1.12e-01      5.17e-04    5.48e-04      1.00e-02    9.84e-03    1.3e-04
  12100      1.14e-01    1.12e-01      8.48e-04    5.57e-04      9.98e-03    9.83e-03    1.3e-04
  12200      1.16e-01    1.13e-01      1.04e-03    5.98e-04      1.01e-02    9.88e-03    1.3e-04
  12300      1.14e-01    1.14e-01      9.01e-04    9.05e-04      9.97e-03    9.93e-03    1.3e-04
  12400      1.12e-01    1.12e-01      5.82e-04    4.88e-04      9.80e-03    9.83e-03    1.3e-04
  12500      1.10e-01    1.10e-01      7.98e-04    5.07e-04      9.61e-03    9.66e-03    1.3e-04
  12600      1.16e-01    1.10e-01      1.28e-03    7.13e-04      1.01e-02    9.62e-03    1.3e-04
  12700      1.10e-01    1.14e-01      7.22e-04    5.63e-04      9.63e-03    1.00e-02    1.3e-04
  12800      1.13e-01    1.11e-01      7.30e-04    7.50e-04      9.90e-03    9.70e-03    1.3e-04
  12900      1.12e-01    1.11e-01      8.63e-04    7.71e-04      9.81e-03    9.67e-03    1.3e-04
  13000      1.09e-01    1.11e-01      8.40e-04    7.00e-04      9.51e-03    9.69e-03    1.3e-04
  13100      1.10e-01    1.09e-01      6.92e-04    9.47e-04      9.66e-03    9.54e-03    1.3e-04
  13200      1.13e-01    1.10e-01      7.98e-04    3.45e-04      9.86e-03    9.66e-03    1.3e-04
  13300      1.11e-01    1.14e-01      4.65e-04    4.57e-04      9.76e-03    9.98e-03    1.3e-04
  13400      1.11e-01    1.10e-01      5.03e-04    5.13e-04      9.71e-03    9.64e-03    1.3e-04
  13500      1.11e-01    1.07e-01      7.93e-04    6.18e-04      9.69e-03    9.40e-03    1.3e-04
  13600      1.09e-01    1.11e-01      8.32e-04    5.87e-04      9.50e-03    9.74e-03    1.3e-04
  13700      1.06e-01    1.07e-01      4.11e-04    4.97e-04      9.27e-03    9.43e-03    1.3e-04
  13800      1.09e-01    1.08e-01      7.16e-04    8.06e-04      9.55e-03    9.42e-03    1.3e-04
  13900      1.10e-01    1.11e-01      5.50e-04    3.33e-04      9.61e-03    9.77e-03    1.3e-04
  14000      1.10e-01    1.05e-01      7.46e-04    4.28e-04      9.61e-03    9.26e-03    1.3e-04
  14100      1.09e-01    1.08e-01      8.71e-04    5.67e-04      9.52e-03    9.47e-03    1.3e-04
  14200      1.06e-01    1.11e-01      8.61e-04    7.77e-04      9.27e-03    9.68e-03    1.3e-04
  14300      1.10e-01    1.10e-01      8.81e-04    9.24e-04      9.64e-03    9.55e-03    1.3e-04
  14400      1.06e-01    1.08e-01      4.85e-04    4.23e-04      9.28e-03    9.47e-03    1.3e-04
  14500      1.10e-01    1.06e-01      8.45e-04    5.98e-04      9.63e-03    9.30e-03    1.3e-04
  14600      1.10e-01    1.07e-01      5.49e-04    7.55e-04      9.61e-03    9.39e-03    1.3e-04
  14700      1.08e-01    1.06e-01      6.79e-04    5.82e-04      9.49e-03    9.28e-03    1.3e-04
  14800      1.05e-01    1.07e-01      2.90e-04    5.53e-04      9.19e-03    9.35e-03    1.3e-04
  14900      1.07e-01    1.05e-01      4.00e-04    4.18e-04      9.35e-03    9.24e-03    1.3e-04
  15000      6.44e-02    6.55e-02      7.38e-04    7.27e-04      9.23e-03    9.40e-03    4.6e-05
  15100      6.38e-02    6.49e-02      3.83e-04    3.31e-04      9.26e-03    9.44e-03    4.6e-05
  15200      6.49e-02    6.41e-02      8.31e-04    4.24e-04      9.27e-03    9.29e-03    4.6e-05
  15300      6.36e-02    6.47e-02      5.87e-04    5.65e-04      9.18e-03    9.35e-03    4.6e-05
  15400      6.40e-02    6.43e-02      6.62e-04    4.94e-04      9.20e-03    9.30e-03    4.6e-05
  15500      6.35e-02    6.44e-02      7.40e-04    8.33e-04      9.10e-03    9.20e-03    4.6e-05
  15600      6.64e-02    6.19e-02      6.00e-04    4.75e-04      9.59e-03    8.96e-03    4.6e-05
  15700      6.29e-02    6.35e-02      4.34e-04    4.40e-04      9.12e-03    9.21e-03    4.6e-05
  15800      6.56e-02    6.41e-02      7.96e-04    2.72e-04      9.40e-03    9.32e-03    4.6e-05
  15900      6.50e-02    6.30e-02      5.02e-04    4.18e-04      9.42e-03    9.13e-03    4.6e-05
  16000      6.59e-02    6.21e-02      7.44e-04    4.26e-04      9.46e-03    9.00e-03    4.6e-05
  16100      6.57e-02    6.64e-02      5.18e-04    5.78e-04      9.50e-03    9.59e-03    4.6e-05
  16200      6.30e-02    6.40e-02      7.38e-04    6.30e-04      9.03e-03    9.22e-03    4.6e-05
  16300      6.30e-02    6.61e-02      7.30e-04    7.19e-04      9.03e-03    9.50e-03    4.6e-05
  16400      6.50e-02    6.39e-02      6.77e-04    5.20e-04      9.35e-03    9.24e-03    4.6e-05
  16500      6.46e-02    6.37e-02      6.63e-04    4.24e-04      9.30e-03    9.24e-03    4.6e-05
  16600      6.50e-02    6.22e-02      9.54e-04    4.05e-04      9.23e-03    9.02e-03    4.6e-05
  16700      6.59e-02    6.44e-02      7.02e-04    3.32e-04      9.48e-03    9.36e-03    4.6e-05
  16800      6.28e-02    6.35e-02      2.85e-04    3.54e-04      9.13e-03    9.22e-03    4.6e-05
  16900      6.52e-02    6.56e-02      1.12e-03    7.83e-04      9.17e-03    9.40e-03    4.6e-05
  17000      6.31e-02    6.33e-02      3.50e-04    5.58e-04      9.17e-03    9.15e-03    4.6e-05
  17100      6.36e-02    6.29e-02      8.37e-04    5.54e-04      9.08e-03    9.08e-03    4.6e-05
  17200      6.37e-02    6.29e-02      7.00e-04    3.32e-04      9.15e-03    9.14e-03    4.6e-05
  17300      6.48e-02    6.56e-02      3.31e-04    7.23e-04      9.42e-03    9.43e-03    4.6e-05
  17400      6.34e-02    6.32e-02      3.53e-04    4.14e-04      9.20e-03    9.17e-03    4.6e-05
  17500      6.26e-02    6.39e-02      2.53e-04    3.53e-04      9.11e-03    9.28e-03    4.6e-05
  17600      6.27e-02    6.37e-02      4.52e-04    3.59e-04      9.08e-03    9.25e-03    4.6e-05
  17700      6.44e-02    6.23e-02      6.09e-04    3.56e-04      9.29e-03    9.05e-03    4.6e-05
  17800      6.55e-02    6.20e-02      7.40e-04    4.00e-04      9.40e-03    8.99e-03    4.6e-05
  17900      6.28e-02    6.35e-02      4.27e-04    6.08e-04      9.10e-03    9.15e-03    4.6e-05
  18000      6.26e-02    6.17e-02      4.17e-04    4.23e-04      9.07e-03    8.95e-03    4.6e-05
  18100      6.44e-02    6.28e-02      7.88e-04    6.00e-04      9.22e-03    9.06e-03    4.6e-05
  18200      6.47e-02    6.21e-02      8.67e-04    3.48e-04      9.22e-03    9.02e-03    4.6e-05
  18300      2.22e+00    2.22e+00      1.43e-01    1.43e-01      1.27e-02    1.28e-02    4.6e-05
  18400      6.95e-02    7.14e-02      7.42e-04    6.70e-04      9.99e-03    1.03e-02    4.6e-05
  18500      6.73e-02    6.75e-02      4.92e-04    6.00e-04      9.75e-03    9.75e-03    4.6e-05
  18600      6.80e-02    6.70e-02      7.00e-04    4.41e-04      9.79e-03    9.72e-03    4.6e-05
